valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo
0.269,2018,0.85,['Drake'],0.687,206027,0.218,1,11L064movtyopGdLiX4sVg,0.000125,9,0.106,-13.539,0,Peak,61,29/06/2018,0.0388,91.991
0.292,2018,0.0682,"['Arcangel', 'Bad Bunny']",0.798,246360,0.487,1,7MjaU5iFujwT1gOyvJnqNp,0,1,0.0925,-4.939,1,Original,63,29/06/2018,0.206,151.02
0.329,2018,0.926,['Kina Grannis'],0.397,198404,0.249,0,0c99BUd87HQfzgUUQqRyds,0,5,0.115,-10.484,1,For Now,63,29/06/2018,0.0394,79.614
0.246,2018,0.301,['Greyson Chance'],0.473,205747,0.587,0,5bdPZNRLtytNqjUmSr4S0P,0,2,0.104,-6.155,1,Good as Gold,61,08/06/2018,0.0383,169.935
0.943,2018,0.107,['NEFFEX'],0.782,182400,0.757,0,1e6aAbWR0MXCNcr4yQovNr,0,6,0.0779,-6.504,1,Grateful,71,28/02/2018,0.0898,75.002
0.423,2018,0.0101,"['Moe Shop', 'TORIENA']",0.788,189130,0.485,0,4n0sVfRnd0UJsqcbPj7GqN,0.000524,11,0.0288,-7.801,0,Notice,60,15/03/2018,0.256,125.061
0.185,2018,0.389,"['6LACK', 'Future']",0.581,246088,0.315,1,6rJmWa5DvQ3Nby3tdcX2L0,1.68E-05,5,0.0766,-11.947,0,East Atlanta Love Letter (feat. Future),59,14/09/2018,0.0781,61.381
0.103,2018,0.158,"['Said the Sky', 'Kwesi']",0.325,315724,0.578,0,1iaTDu4PCIWQQOwwwqq5qW,0.00479,2,0.575,-6.786,1,All I Got,60,20/07/2018,0.0455,144.745
0,2018,0.00212,"['Noise for Healing', 'Noise Sleep Loops']",0,304880,2.01E-05,0,6bW6GIaja5aIc8CEjwTL5N,0.905,1,0.429,-18.756,1,Pink Noise Sleep Loop (Looped Sleep Pink Noise),60,08/01/2018,0,0
0.266,2018,0.333,['Craig Campbell'],0.497,244267,0.434,0,6gcNSi6b9gvDBjYO059lrF,3.11E-06,0,0.108,-5.73,1,Outskirts of Heaven,56,08/06/2018,0.0296,115.749
0.598,2018,0.136,"['Royce Da 5\'9""', 'Eminem', 'King Green']",0.706,283077,0.745,1,6LZe8JfVaqcpq8yjkHtWQe,0,10,0.268,-5.97,0,Caterpillar (feat. Eminem & King Green),61,04/05/2018,0.441,91.08
0.11,2018,0.184,['Mitski'],0.262,136668,0.398,0,5Yb82JrDj09gQHQtjWgYYo,0,2,0.294,-9.509,1,Pink in the Night,59,17/08/2018,0.0303,102.835
0.354,2018,0.062,['Bishop Briggs'],0.524,230587,0.805,0,2ph6BRhGcUzc2W9wIulG5k,0,4,0.209,-4.08,0,White Flag,65,20/04/2018,0.065,152.044
